file,lon [arcsec],lat [arcsec]
solo_L2_eui-fsi174-image_20220324T121045228_V02.fits,"[-3294.785387309501, -3795.0482933227904, -3360.168662791606]","[-437.8222417919451, -859.8928513122024, -1282.8819427361523]"
solo_L2_eui-fsi174-image_20220324T122045229_V02.fits,"[-3211.7355388824362, -3855.12329587969, -3414.164571153233]","[-452.9125191989331, -760.3535343721678, -1353.7664815520272]"
solo_L2_eui-fsi174-image_20220324T123045230_V02.fits,"[-3334.2827090374194, -4193.520500900224, -3675.224694559583]","[-396.56070550685314, -831.8481688543261, -1460.9212271428855]"
solo_L2_eui-fsi174-image_20220324T124045231_V02.fits,[],[]
solo_L2_eui-fsi174-image_20220324T125045233_V02.fits,[],[]
solo_L2_eui-fsi174-image_20220324T130045233_V02.fits,[],[]
solo_L2_eui-fsi174-image_20220324T131045250_V02.fits,[],[]
solo_L2_eui-fsi174-image_20220324T132045236_V02.fits,[],[]
solo_L2_eui-fsi174-image_20220324T133045237_V02.fits,[],[]
solo_L2_eui-fsi174-image_20220324T134045238_V02.fits,[],[]
