file,lon [arcsec],lat [arcsec],dsun [m]
solo_L2_eui-fsi174-image_20220829T051047160_V01.fits,[],[],115793583795.62051
solo_L2_eui-fsi174-image_20220829T052047161_V01.fits,[],[],115784269867.26772
solo_L2_eui-fsi174-image_20220829T053055182_V01.fits,[],[],115774954624.02899
solo_L2_eui-fsi174-image_20220829T054055162_V01.fits,[],[],115765513545.84038
solo_L2_eui-fsi174-image_20220829T055055164_V01.fits,[],[],115756195979.17154
solo_L2_eui-fsi174-image_20220829T060055165_V01.fits,[],[],115746876780.48131
solo_L2_eui-fsi174-image_20220829T061055166_V01.fits,[],[],115737556276.48955
solo_L2_eui-fsi174-image_20220829T062055168_V01.fits,[],[],115728234467.1704
solo_L2_eui-fsi174-image_20220829T063055168_V01.fits,[],[],115718911340.6361
solo_L2_eui-fsi174-image_20220829T064055169_V01.fits,[],[],115709586910.13199
solo_L2_eui-fsi174-image_20220829T065055171_V01.fits,[],[],115700261167.56445
solo_L2_eui-fsi174-image_20220829T070055171_V01.fits,[],[],115690934106.49596
solo_L2_eui-fsi174-image_20220829T071055173_V01.fits,[],[],115681605746.82019
solo_L2_eui-fsi174-image_20220829T072055174_V01.fits,[],[],115672276067.62756
solo_L2_eui-fsi174-image_20220829T073055175_V01.fits,[],[],115662945081.46358
solo_L2_eui-fsi174-image_20220829T074055176_V01.fits,[],[],115653612783.31114
solo_L2_eui-fsi174-image_20220829T075055177_V01.fits,[],[],115644279168.62755
solo_L2_eui-fsi174-image_20220829T080055178_V01.fits,[],[],115634944248.30034
solo_L2_eui-fsi174-image_20220829T081055179_V01.fits,[],[],115625608017.78838
solo_L2_eui-fsi174-image_20220829T082055180_V01.fits,[],[],115616270470.6474
solo_L2_eui-fsi174-image_20220829T083055181_V01.fits,[],[],115606931618.24103
solo_L2_eui-fsi174-image_20220829T084055182_V01.fits,[],[],115597591453.89243
solo_L2_eui-fsi174-image_20220829T085055183_V01.fits,[],[],115588249980.65742
solo_L2_eui-fsi174-image_20220829T090055184_V01.fits,[],[],115578907188.76257
solo_L2_eui-fsi174-image_20220829T091055185_V01.fits,[],[],115569563087.67809
solo_L2_eui-fsi174-image_20220829T092055186_V01.fits,[],[],115560217678.56139
solo_L2_eui-fsi174-image_20220829T093055187_V01.fits,[],[],115550870956.8657
solo_L2_eui-fsi174-image_20220829T094055188_V01.fits,[],[],115541522917.08827
solo_L2_eui-fsi174-image_20220829T095055189_V01.fits,[],[],115532173579.64622
solo_L2_eui-fsi174-image_20220829T100055190_V01.fits,[],[],115522822919.06664
solo_L2_eui-fsi174-image_20220829T101055191_V01.fits,[],[],115513470951.01247
solo_L2_eui-fsi174-image_20220829T102055192_V01.fits,[],[],115504117674.26309
solo_L2_eui-fsi174-image_20220829T103055193_V01.fits,[],[],115494763080.22208
solo_L2_eui-fsi174-image_20220829T104055194_V01.fits,[],[],115485407190.74654
solo_L2_eui-fsi174-image_20220829T105055196_V01.fits,[],[],115476049964.63922
solo_L2_eui-fsi174-image_20220829T110055197_V01.fits,[],[],115466691433.51816
solo_L2_eui-fsi174-image_20220829T111055197_V01.fits,[],[],115457331597.82869
solo_L2_eui-fsi174-image_20220829T112055199_V01.fits,[],[],115447970450.16083
solo_L2_eui-fsi174-image_20220829T113055200_V01.fits,[],[],115438607988.10143
solo_L2_eui-fsi174-image_20220829T114055201_V01.fits,[],[],115429244216.14317
solo_L2_eui-fsi174-image_20220829T115055233_V01.fits,[],[],115419879129.25397
solo_L2_eui-fsi174-image_20220829T120055203_V01.fits,[],[],115410512247.63156
solo_L2_eui-fsi174-image_20220829T121055204_V01.fits,[],[],115401145021.98402
solo_L2_eui-fsi174-image_20220829T122055205_V01.fits,[],[],115391776002.97102
solo_L2_eui-fsi174-image_20220829T123055206_V01.fits,[],[],115382405666.27708
solo_L2_eui-fsi174-image_20220829T124055207_V01.fits,[],[],115373034025.69426
solo_L2_eui-fsi174-image_20220829T125055241_V01.fits,[],[],115363661067.12912
solo_L2_eui-fsi174-image_20220829T130055209_V01.fits,[],[],115354286276.99397
solo_L2_eui-fsi174-image_20220829T131055210_V01.fits,[],[],115344911217.36932
solo_L2_eui-fsi174-image_20220829T132055237_V01.fits,[],[],115335534324.925
solo_L2_eui-fsi174-image_20220829T133055237_V01.fits,[],[],115326155719.38406
solo_L2_eui-fsi174-image_20220829T134055241_V01.fits,[],[],115316776208.51514
solo_L2_eui-fsi174-image_20220829T135055239_V01.fits,[],[],115307395336.28706
solo_L2_eui-fsi174-image_20220829T140055242_V01.fits,[],[],115298013244.38385
solo_L2_eui-fsi174-image_20220829T141055243_V01.fits,[],[],115288629757.88654
solo_L2_eui-fsi174-image_20220829T142055239_V01.fits,[],[],115279244987.95416
solo_L2_eui-fsi174-image_20220829T143055239_V01.fits,[],[],115269858991.38213
solo_L2_eui-fsi174-image_20220829T144055247_V01.fits,[],[],115260471621.58212
solo_L2_eui-fsi174-image_20220829T145055244_V01.fits,[],[],115251082811.16083
solo_L2_eui-fsi174-image_20220829T150055247_V01.fits,[],[],115241692854.97223
solo_L2_eui-fsi174-image_20220829T151055251_V01.fits,[],[],115232301494.37714
solo_L2_eui-fsi174-image_20220829T152055224_V01.fits,[],[],115222908802.16875
solo_L2_eui-fsi174-image_20220829T153055225_V01.fits,[],[],115213515294.37047
solo_L2_eui-fsi174-image_20220829T154055226_V01.fits,[],[],115204120029.69003
solo_L2_eui-fsi174-image_20220829T155055227_V01.fits,[],[],115194723452.4241
solo_L2_eui-fsi174-image_20220829T160055228_V01.fits,[],[],115185325560.62733
solo_L2_eui-fsi174-image_20220829T161055228_V01.fits,[],[],115175926357.85378
solo_L2_eui-fsi174-image_20220829T162055230_V01.fits,"[-1162.4107831555884, -1362.3445744400378, -926.2969448054209]","[-479.93033796072956, -794.2941391937487, -793.407293093166]",115166525849.57233
solo_L2_eui-fsi174-image_20220829T163055231_V01.fits,"[-1336.8459713619668, -1521.4007685240358, -1059.9918857472949]","[-501.0995677112496, -854.233438871036, -876.9545420369234]",115157124012.32129
solo_L2_eui-fsi174-image_20220829T164055232_V01.fits,"[-1441.4644112067763, -1773.3609613361768, -960.849774042843]","[-480.3066385818112, -902.8549889978527, -987.3076013766321]",115147720863.75995
solo_L2_eui-fsi174-image_20220829T165055233_V01.fits,"[-1616.2595726924483, -2108.4189172573388, -908.3400896831881]","[-427.8860611802742, -1606.0656561489454, -1314.4725047403776]",115138316414.61964
solo_L2_eui-fsi174-image_20220829T170055234_V01.fits,[],[],115128910648.3722
solo_L2_eui-fsi174-image_20220829T171055235_V01.fits,[],[],115119503564.50415
solo_L2_eui-fsi174-image_20220829T172055236_V01.fits,[],[],115110095171.59793
solo_L2_eui-fsi174-image_20220829T173055237_V01.fits,[],[],115100685460.29048
solo_L2_eui-fsi174-image_20220829T174055239_V01.fits,[],[],115091274446.10416
solo_L2_eui-fsi174-image_20220829T175055239_V01.fits,[],[],115081862106.5106
solo_L2_eui-fsi174-image_20220829T180055240_V01.fits,[],[],115072448469.96489
solo_L2_eui-fsi174-image_20220829T181055241_V01.fits,[],[],115063033507.71199
solo_L2_eui-fsi174-image_20220829T182055242_V01.fits,[],[],115053617240.30875
solo_L2_eui-fsi174-image_20220829T183055244_V01.fits,[],[],115044199654.79465
